wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:15,03/13/2018 15:11:11,0.8310155,0.000231116,"Work Block Process QueueItem, simulate Ex successful",Info,90cde1d985ae531edeef2d73e76e3087,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:16,03/13/2018 15:11:11,0.5322378,0.000147843833333333,"Work Block Process QueueItem, simulate Ex successful",Info,2eac777a1cd95dfe91c088fb8cb735f4,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:17,03/13/2018 15:11:11,0.5315597,0.000147933166666667,"Work Block Process QueueItem, simulate Ex successful",Info,c8515d890569079a267df4f2b1242393,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:18,03/13/2018 15:11:11,0.5576829,0.000155189111111111,"Work Block Process QueueItem, simulate Ex successful",Info,216cb9a5d976201616b3a0e2b42596c0,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:19,03/13/2018 15:11:11,0.5061349,0.000140593027777778,"Work Block Process QueueItem, simulate Ex successful",Info,d229580faa5682fc8b65885fa4d336bd,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:20,03/13/2018 15:11:11,0.5414387,0.000150399638888889,"Work Block Process QueueItem, simulate Ex successful",Info,fab5057c1d434ddc8a24bc5f4d00fe87,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:11:21,03/13/2018 15:11:11,0.573069,0.000159185833333333,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,21980fbd81155dc6f253ccda0acae8a9,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:22,03/13/2018 15:11:11,0.4790692,0.000133351777777778,"Work Block Process QueueItem, simulate Ex successful",Info,bbe0026689d082fc737ceda836c3db90,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:23,03/13/2018 15:11:11,0.4953387,0.000137594083333333,"Work Block Process QueueItem, simulate Ex successful",Info,9a32d53c8d459ec13f94ec41a87f30c0,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:11:24,03/13/2018 15:11:11,0.9609097,0.000267197166666667,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,1f6455bc3ae470083c29358ef75e59bf,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:26,03/13/2018 15:11:11,0.4875998,0.000135444388888889,"Work Block Process QueueItem, simulate Ex successful",Info,ddd6a26709dbe0b8164cfa188ebc51c4,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:27,03/13/2018 15:11:11,0.5359675,0.000148879861111111,"Work Block Process QueueItem, simulate Ex successful",Info,e10d2f1982d86bb7b2344f735a093f9b,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:28,03/13/2018 15:11:11,0.5514609,0.000153183583333333,"Work Block Process QueueItem, simulate Ex successful",Info,4be0849b44edbec1e3307c8a932910fc,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:11:28,03/13/2018 15:11:11,0.5826677,0.000162130694444444,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,4be0849b44edbec1e3307c8a932910fc,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:30,03/13/2018 15:11:11,0.5256096,0.000146280166666667,"Work Block Process QueueItem, simulate Ex successful",Info,6eef63a4b87147687021fb69b160690d,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:31,03/13/2018 15:11:11,0.523824,0.000145506666666667,"Work Block Process QueueItem, simulate Ex successful",Info,b0b702d83206f5eeb979fd3ad9edb985,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:32,03/13/2018 15:11:11,0.5671253,0.000157811611111111,"Work Block Process QueueItem, simulate Ex successful",Info,d2abaec4c0cb968d2e14adbbb65946ca,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:33,03/13/2018 15:11:11,0.5101167,0.000141978138888889,"Work Block Process QueueItem, simulate Ex successful",Info,4763064fd5ebf8a9587ef823a6aa1689,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 15:11:33,03/13/2018 15:11:11,0.7717839,0.000214384416666667,".Work Block Process QueueItem, simulate Ex failed with exception Simulated, BRE, specific message at Source System.Activities",Error,4763064fd5ebf8a9587ef823a6aa1689,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:35,03/13/2018 15:11:11,0.6621307,0.000184203583333333,"Work Block Process QueueItem, simulate Ex successful",Info,dc558e2c5cce3a841b34d1e8ef54b1a2,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 15:11:36,03/13/2018 15:11:11,0.9184036,0.000255389805555556,".Work Block Process QueueItem, simulate Ex failed with exception Simulated, BRE, specific message at Source System.Activities",Error,0b3cd1e6b94c9f653aa6fb06912ad35b,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:37,03/13/2018 15:11:11,0.5036186,0.000139894055555556,"Work Block Process QueueItem, simulate Ex successful",Info,8c89c0dd1791166b4a23717f2937f56b,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:38,03/13/2018 15:11:11,0.5565439,0.000154734416666667,"Work Block Process QueueItem, simulate Ex successful",Info,d01b32cb06def7612e8797b93ee9ea51,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 15:11:39,03/13/2018 15:11:11,0.7161988,0.000198944111111111,".Work Block Process QueueItem, simulate Ex failed with exception Simulated, BRE, specific message at Source System.Activities",Error,779881ab44fdca3646d4d993190fad37,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:40,03/13/2018 15:11:11,0.5361092,0.000150030555555556,"Work Block Process QueueItem, simulate Ex successful",Info,5026e469e306af3bb255cde3f476189d,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 15:11:41,03/13/2018 15:11:11,0.6267648,0.000174101333333333,".Work Block Process QueueItem, simulate Ex failed with exception Simulated, BRE, specific message at Source System.Activities",Error,e09147311962194cbc59656257a68c73,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:42,03/13/2018 15:11:11,0.4886101,0.000135725027777778,"Work Block Process QueueItem, simulate Ex successful",Info,e932a67ef3172d4f9b986f499d469991,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 15:11:43,03/13/2018 15:11:11,0.6046111,0.000167947527777778,".Work Block Process QueueItem, simulate Ex failed with exception Simulated, BRE, specific message at Source System.Activities",Error,e8a9cad1c84ed383eb11fa7098becd1a,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:44,03/13/2018 15:11:11,0.5840527,0.00016251525,"Work Block Process QueueItem, simulate Ex successful",Info,e3079b4e8af78680077b16a75c4c428f,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:45,03/13/2018 15:11:11,0.5309956,0.000147776083333333,"Work Block Process QueueItem, simulate Ex successful",Info,989a8a38198c81e3316ec1f609d99a50,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:11:46,03/13/2018 15:11:11,0.5045527,0.000140153527777778,"Work Block Process QueueItem, simulate Ex successful",Info,34bac7f1644d494553f5dcc5b0ae0f2f,False,No info
MainTask,0,,MainTask,Failed,Finished with Exceptions,True,,03/13/2018 15:11:11,03/13/2018 15:11:11,35.5892274,0.0098858965,Work Block MainTask successful,Info,b7fb0d4ca81d643da849ce75badf5348,False,No info
