wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:15,03/13/2018 15:19:12,0.8887145,0.000247004138888889,"Work Block Process QueueItem, simulate Ex successful",Info,049510378ffb60357d76c0abf3edd99d,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:17,03/13/2018 15:19:12,0.5933111,0.000164947722222222,"Work Block Process QueueItem, simulate Ex successful",Info,3aa9a8a6db211e9227aeb5ba25b259e3,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:18,03/13/2018 15:19:12,0.5608546,0.000156071527777778,"Work Block Process QueueItem, simulate Ex successful",Info,32152e065af692c8a1e0b8a3f9dbbcf0,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:19,03/13/2018 15:19:12,0.5143509,0.000143014138888889,"Work Block Process QueueItem, simulate Ex successful",Info,fa66e7e760c24ffee497635bcaa85ddd,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:20,03/13/2018 15:19:12,0.562378,0.000156354888888889,"Work Block Process QueueItem, simulate Ex successful",Info,926a38f6ca9097e304b71c9bea56cbb5,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:19:21,03/13/2018 15:19:12,0.6360292,0.000176954305555556,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,8f6fee9c41425cb217201f3d418fb316,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:22,03/13/2018 15:19:12,0.5296415,0.000147261222222222,"Work Block Process QueueItem, simulate Ex successful",Info,0c988ceca588ca61a6492e159492157d,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 15:19:23,03/13/2018 15:19:12,0.6614981,0.000183888166666667,".Work Block Process QueueItem, simulate Ex failed with exception Simulated, BRE, specific message at Source System.Activities",Error,9a4d34a49203467ea8cb36733f059ead,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:19:24,03/13/2018 15:19:12,0.8432686,0.000234379777777778,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,4a80e012ccb74fbc865c3e63d835e121,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 15:19:26,03/13/2018 15:19:12,0.6785842,0.000188633638888889,".Work Block Process QueueItem, simulate Ex failed with exception Simulated, BRE, specific message at Source System.Activities",Error,e7b298ea4b5f7875dba12ce2b612478e,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:27,03/13/2018 15:19:12,0.5774052,0.000160529416666667,"Work Block Process QueueItem, simulate Ex successful",Info,1a6ff68b44b20cc7fe6b9900dc85b989,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:28,03/13/2018 15:19:12,0.5622218,0.000156310416666667,"Work Block Process QueueItem, simulate Ex successful",Info,f689f9fb90aec6bbae6e9de145d023d9,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:29,03/13/2018 15:19:12,0.5311306,0.000147674972222222,"Work Block Process QueueItem, simulate Ex successful",Info,78717ca0443221b6eb164835bc26af16,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:29,03/13/2018 15:19:12,0.573722,0.000159506416666667,"Work Block Process QueueItem, simulate Ex successful",Info,78717ca0443221b6eb164835bc26af16,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Successful,True,,03/13/2018 15:19:30,03/13/2018 15:19:12,0.5177801,0.000143966527777778,"Work Block Process QueueItem, simulate Ex successful",Info,47d131196cebe204cff958852047b6da,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:19:31,03/13/2018 15:19:12,0.8011444,0.000222678111111111,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,b18d30eb24072602d37f15f58cb4f39b,False,No info
"Process QueueItem, simulate Ex",1,MainTask,"MainTask|Process QueueItem, simulate Ex",Failed,Failed,False,Exception,03/13/2018 15:19:33,03/13/2018 15:19:12,0.5603564,0.000155792361111111,".Work Block Process QueueItem, simulate Ex failed with exception Simulated AppEx, some message at Source System.Activities",Warn,631935e2397d5411ab64d5d770dcf3bb,False,No info
